1 draft-ietf-smime-cms-aes-ccm-and-gcm-00.txt  vigilsec
1 draft-ietf-mediactrl-architecture-00.txt  UNKNOWN
1 draft-bormann-rohc-shutdown-profile-00.txt  tzi
3 draft-reid-dnsext-nkey-00.txt  telnic kirei telnic
1 draft-nottingham-http-cache-channels-00.txt  yahoo-inc
3 draft-chen-sigtran-m3ua-ext-00.txt  chinamobile alcatel chinamobile chinamobile
3 draft-winter-radsec-00.txt  restena open uninett
1 draft-kunze-erc-00.txt  ucop ucop
1 draft-shacham-http-corr-uris-00.txt  columbia columbia
1 draft-acee-mip4-bulk-revocation-00.txt  redback redback
1 draft-farinacci-lisp-00.txt  cisco cisco cisco
4 draft-ietf-p2psip-concepts-00.txt  sipeerior avaya UNKNOWN softarmor
2 draft-manner-router-alert-iana-00.txt  siemens hut
1 draft-ietf-msec-ipsec-group-counter-modes-00.txt  cisco cisco
2 draft-zhao-nemo-limitations-ps-00.txt  huawei UNKNOWN UNKNOWN
5 draft-morin-l3vpn-mvpn-considerations-00.txt  orange-ft bt ntt bt t-systems
1 draft-ietf-sip-body-handling-00.txt  ericsson
1 draft-previdi-isis-mi-00.txt  cisco cisco cisco cisco cisco
1 draft-dondeti-dime-erp-diameter-00.txt  qualcomm
1 draft-roca-rmt-newfcast-00.txt  inria
2 draft-martinelli-ccamp-optical-imp-signaling-00.txt  cisco create-net
1 draft-rosenberg-sipping-service-identification-00.txt  cisco
1 draft-mutaf-dhoa-00.txt  int-evry
2 draft-pei-keyprov-dynamic-symkey-prov-protocol-00.txt  verisign diversinet
1 draft-sarikaya-netlmm-prefix-delegation-00.txt  huawei huawei
1 draft-kristensen-avt-rtp-h264-rcdo-00.txt  tandberg
1 draft-badra-ecdhe-tls-psk-00.txt  isima
2 draft-madanapalli-16ng-ipv4-over-802-dot-16-ipcs-00.txt  UNKNOWN samsung
1 draft-volz-dhc-dhcpv6-vendor-message-00.txt  cisco
1 draft-winterbottom-geopriv-held-lis2lis-bcp-00.txt  andrew andrew
2 draft-ellard-federated-fs-00.txt  netapp netapp ibm ibm
1 draft-irtf-rrg-design-goals-00.txt  cisco
4 draft-wu-sava-solution-firsthop-eap-00.txt  cernet tsinghua cernet cernet juniper
1 draft-thomson-geopriv-held-measurements-00.txt  andrew andrew
1 draft-zhang-multimob-memcast-ps-00.txt  bjtu
1 draft-xia-multimob-hybrid-00.txt  huawei huawei
3 draft-hewett-sipping-cal-00.txt  cisco alcatel-lucent nortel
2 draft-clausen-manet-jitter-00.txt  computer baesystems
1 draft-saintandre-xmpp-feature-set-00.txt  jabber
2 draft-elwell-speermint-enterprise-usecases-00.txt  siemens avaya
3 draft-ietf-mpls-te-scaling-analysis-00.txt  ntt olddog cisco
1 draft-sekim-16ng-ip-00.txt  kt kt
7 draft-eardley-pcn-architecture-00.txt  bt nortel nortel cisco t-systems utwente uni-wuerzburg huawei
1 draft-manral-ipv6-rh4-00.txt  ipinfusion ipinfusion
1 draft-ietf-dccp-serv-codes-00.txt  abdn
