2 draft-cain-post-inch-phishingextns-00.txt  coopercain antiphishing
1 draft-aggarwal-nfsv4-cksum-00.txt  sun
2 draft-housley-gigabeam-radio-link-encrypt-00.txt  vigilsec gigabeam
1 draft-josefsson-sasl-tls-cb-00.txt  josefsson
2 draft-ietf-tsvwg-diffserv-class-aggr-00.txt  nortel nortel cisco
1 draft-jokela-hip-service-discovery-00.txt  ericsson ericsson ericsson
2 draft-wolff-radext-ext-attribute-00.txt  databus cisco
2 draft-lafon-rfc2616bis-00.txt  w3 greenbytes
3 draft-ietf-dnsext-rollover-requirements-00.txt  shinkuro afilias sparta
3 draft-mraihi-inch-thraud-00.txt  entrust UNKNOWN verisign
1 draft-sayre-http-hmac-digest-00.txt  boswijck
2 draft-bagnulo-shim6-ingress-filtering-00.txt  microsoft uc3m
1 draft-yong-ccamp-ason-gmpls-autobw-service-00.txt  huawei huawei
1 draft-garcia-dime-aaa-uri-00.txt  nokia
1 draft-pskim-fho16e-arid-00.txt  kpu
1 draft-kobayashi-ipfix-concentrator-model-00.txt  ntt ntt ntt
4 draft-ietf-capwap-protocol-binding-ieee80211-00.txt  UNKNOWN cisco rim arubanetworks
1 draft-ogier-ospf-dbex-opt-00.txt  earthlink
1 draft-ietf-sieve-regex-00.txt  cmu
2 draft-marin-pana-ieee802doti-00.txt  toshiba toshiba int-evry
1 draft-shore-nls-fw-00.txt  cisco
1 draft-matthews-mmusic-ice-eliminating-duplicates-00.txt  avaya avaya
1 draft-ietf-isis-rfc4205bis-00.txt  juniper juniper
3 draft-baccelli-ospf-mpr-ext-00.txt  eurecom computer inria
2 draft-ietf-mboned-lightweight-igmpv3-mldv2-00.txt  huawei huawei keio
1 draft-ppillai-ipdvb-sule-00.txt  bradford bradford
3 draft-bryant-pwe3-mpls-transport-00.txt  cisco cisco juniper cisco cisco
1 draft-tian-ldp-gen-id-00.txt  redback
3 draft-chowdhury-hoakey-amsk-ps-00.txt  starentnetworks int-evry motorola
5 draft-ietf-mipshop-fh80216e-00.txt  samsung etri UNKNOWN samsung etri
1 draft-ietf-smime-bfibecms-00.txt  voltage voltage
3 draft-ietf-lemonade-profile-bis-00.txt  oracle isode cridland
1 draft-kaplan-best-srtp-keys-00.txt  acmepacket
1 draft-ietf-tsvwg-2960bis-00.txt  cisco
1 draft-ietf-rtgwg-lf-conv-frmwk-00.txt  cisco cisco
1 draft-krovetz-vmac-00.txt  csus
1 draft-manjunath-ipfix-shifted-feedback-00.txt  UNKNOWN
1 draft-ietf-rohc-ikev2-extensions-hcoipsec-00.txt  bah bah bah bah
1 draft-ietf-dkim-ssp-requirements-00.txt  cisco
1 draft-rosenberg-sip-hitchhikers-guide-00.txt  cisco
1 draft-ietf-eai-smtpext-00.txt  cnnic cnnic
2 draft-davie-ecn-mpls-00.txt  cisco bt bt
2 draft-mcgrew-tls-srtp-00.txt  cisco networkresonance
3 draft-vidya-mipshop-hk-opt-aaa-00.txt  qualcomm motorola nortel nortel
3 draft-stevant-softwire-accounting-00.txt  enst-bretagne enst-bretagne point6 orange-ft
1 draft-dilip-ftpext-safe-transfer-00.txt  hp hp
1 draft-abel-nfc-urn-00.txt  nfc-forum
1 draft-quittek-p2p-sip-middlebox-00.txt  nec nec nec nec
2 draft-jourjon-tsvwg-sender-based-tfrc-00.txt  nicta nicta ensica
2 draft-doherty-ct-kip-ws-00.txt  rsasecurity rsa rsa
1 draft-saito-mmusic-sdes-ipsec-00.txt  ntt
1 draft-riegel-16ng-ip-over-eth-over-80216-00.txt  siemens
2 draft-ietf-avt-rtp-svc-00.txt  nokia fhg
1 draft-nalawade-softwire-mesh-encap-attribute-00.txt  cisco
1 draft-mayutan-nsis-pcn-00.txt  UNKNOWN
1 draft-ietf-btns-connection-latching-00.txt  sun
3 draft-ietf-ippm-multimetrics-00.txt  orange-ft surrey att
1 draft-ranarang-sipping-middialog-sip-status-00.txt  cisco
1 draft-klensin-idnabis-issues-00.txt  jck
1 draft-vidya-ipsec-failover-redundancy-00.txt  qualcomm qualcomm
8 draft-melia-mipshop-mobility-services-ps-00.txt  siemens nec nokia toshiba intel teliasonera ua huawei
1 draft-weis-esp-group-counter-cipher-00.txt  cisco cisco
4 draft-morand-pana-panaoverdsl-00.txt  orange-ft telecomitalia huawei samsung
1 draft-sugimoto-mip6-homelan-access-00.txt  ericsson
1 draft-naseh-scaling-slb-00.txt  cisco
3 draft-schmitt-hip-nat-traversal-00.txt  nec hiit hiit nec nec
1 draft-wahl-ldap-subtree-source-00.txt  informed-control
1 draft-lendl-domain-policy-ddds-00.txt  enum
2 draft-dolganow-pwe3-ospf-ms-pw-ext-00.txt  alcatel-lucent alcatel-lucent alcatel-lucent alcatel-lucent alcatel-lucent ntt
4 draft-schmitt-hip-nat-00.txt  nec hiit hiit UNKNOWN nec nec
1 draft-ietf-avt-rtp-howto-00.txt  ericsson
3 draft-ietf-rserpool-overview-00.txt  cisco ciena fh-muenster
1 draft-ietf-lemonade-search-within-00.txt  oracle oracle
1 draft-manner-tsvwg-rsvp-proxy-sig-00.txt  hut
1 draft-zhang-mipshop-fmip-arinfo-00.txt  huawei huawei
1 draft-andreasen-mmusic-sdp-capability-negotiation-00.txt  cisco
1 draft-sayre-2-way-rss-00.txt  boswijck
2 draft-demmer-dtnrg-tcp-clayer-00.txt  berkeley hut
1 draft-ietf-krb-wg-tcp-expansion-00.txt  josefsson
1 draft-niemi-sip-subnot-etags-00.txt  nokia
1 draft-schubert-simple-pidf-cert-00.txt  sip101
2 draft-melnikov-imapext-quota-00.txt  cridland isode
4 draft-ietf-sipping-sbc-funcs-00.txt  ericsson ericsson acmepacket ditechnetworks nextone
2 draft-nair-simple-xcap-acl-00.txt  c-cor cablelabs
1 draft-dimitri-ccamp-gmpls-ason-routing-ospf-00.txt  alcatel
1 draft-rajesh-sipping-303-00.txt  microsoft
2 draft-ietf-pim-bsr-mib-00.txt  infosys cisco
1 draft-petithuguenin-sip-fragmentation-responses-00.txt  8x8
1 draft-malas-sipping-congestion-header-00.txt  level3 level3
1 draft-ietf-sip-hitchhikers-guide-00.txt  cisco
1 draft-neves-epp-brorg-00.txt  registro registro
2 draft-poetzl-sipping-call-completion-00.txt  t-com t-com siemens
1 draft-fries-sip-identity-usage-bcp-00.txt  siemens siemens siemens
3 draft-ietf-mpls-p2mp-te-mib-00.txt  olddog ntt cisco
3 draft-tschofenig-dime-diameter-qos-00.txt  lucent lucent siemens mytum
3 draft-moustafa-ancp-security-threats-00.txt  orange-ft siemens alcatel
3 draft-wadhwa-gsmp-l2control-configuration-00.txt  juniper juniper juniper t-systems siemens
2 draft-irtf-p2prg-survey-search-00.txt  tuffit unsw
1 draft-cook-lemonade-streaming-00.txt  openwave
2 draft-ietf-mpls-upstream-label-00.txt  juniper juniper cisco
1 draft-ietf-smime-ibcs-00.txt  voltage voltage
1 draft-hartman-webauth-00.txt  mit
1 draft-rocky-sipping-override-barring-00.txt  huawei
1 draft-farrel-ccamp-ero-survey-00.txt  olddog
1 draft-symington-bundle-multicast-noncustodial-00.txt  mitre mitre mitre
1 draft-camarillo-sipping-profile-key-00.txt  ericsson ericsson
1 draft-camarillo-sipping-list-state-00.txt  ericsson
2 draft-klensin-net-utf8-00.txt  jck mit
1 draft-hoehrmann-urlencoded-00.txt  hoehrmann
9 draft-dimitri-gels-framework-00.txt  alcatel seabridgenetworks etri acreo ericsson lucent nortel nortel teliasonera ericsson
1 draft-stenberg-pd-route-maintenance-00.txt  cisco cisco
1 draft-hartman-webauth-phishing-00.txt  mit
1 draft-vishnu-diameter-location-update-common-msg-00.txt  motorola motorola
1 draft-shen-interaction-ind-00.txt  alcatel
1 draft-devarapalli-mip6-experimental-messages-00.txt  azairenet
1 draft-thaler-intarea-multilink-subnet-issues-00.txt  microsoft
1 draft-santesson-pkix-vccrl-00.txt  microsoft
3 draft-mun-mobileip-bwa-aaa-00.txt  soongsil ssu etri etri
